key,swedish,englishUK,englishUS,notes
"dashboard.action_1","Ge butiksstället en synlig och central plats i butiken, gärna nära kassan.","","","From: src/pages/DashboardPage.jsx"
"dashboard.action_2","Aktivt säljer och förklarar produkten för kunderna. Gör man inte det är sannolikheten stor att kunderna inte uppmärksammar produkten och därmed inte köper produkten vilket vare sig vi eller ni vinner på.","","","From: src/pages/DashboardPage.jsx"
"dashboard.action_3","För att försäkra säljprocessen ytterligare skickar vi också med ett antal lösa B8Shields. Med fördel kan dessa läggas i en skål vid stället så att kund kan få klämma och känna på produkten.","","","From: src/pages/DashboardPage.jsx"
"dashboard.action_quote","När kunden dock väl förstår vad B8Shield är och gör, är den lätt att välja, men kunden måste förstå det först","","","From: src/pages/DashboardPage.jsx"
"dashboard.answer","Svar:","","","From: src/pages/DashboardPage.jsx"
"dashboard.catalog_description","Bläddra och ladda ner produktinformation","","","From: src/pages/DashboardPage.jsx"
"dashboard.contact_title","Kontaktuppgifter","","","From: src/pages/DashboardPage.jsx"
"dashboard.explanation_1","B8Shield hindrar fiskedrag från att fastna i undervattensvegetation och andra undervattenshinder.","","","From: src/pages/DashboardPage.jsx"
"dashboard.explanation_2_title","B8Shield finns i 4 olika utföranden:","","","From: src/pages/DashboardPage.jsx"
"dashboard.explanation_3","B8Shield fästs på tre-krok. Passat till krokstorlek 2, 4 och 6, där storlek 2 också passar på krokstorlek 1. Krokstorlek 1/0 och 2/0 kommer inom kort.","","","From: src/pages/DashboardPage.jsx"
"dashboard.explanation_4","B8Shields är designad så att man enkelt kan växla den mellan olika drag vid behov.","","","From: src/pages/DashboardPage.jsx"
"dashboard.faq_1_answer","Nej, B8Shield påverkar inte krokens förmåga att kroka fisk. Under ett bett flexar sköldens vingar för att exponera krokarna, vilket säkerställer en lyckad fångst. Du krokar helt enkelt fisken som vanligt.","","","From: src/pages/DashboardPage.jsx"
"dashboard.faq_1_question","Fråga 1: Kommer fisken sluta hugga?","","","From: src/pages/DashboardPage.jsx"
"dashboard.faq_2_answer","Nej, B8Shield är testad med många typer av drag. Ingen skillnad i gång.","","","From: src/pages/DashboardPage.jsx"
"dashboard.faq_2_question","Fråga 2: Förstör det gången på draget?","","","From: src/pages/DashboardPage.jsx"
"dashboard.faq_3_answer","När du fiskar där det finns många undervattenhinder som ex. undervattensvegetation eller där det är stenigt, alltså där fisken ofta gömmer sig.","","","From: src/pages/DashboardPage.jsx"
"dashboard.faq_3_question","Fråga 3: När ska man använda den?","","","From: src/pages/DashboardPage.jsx"
"dashboard.faq_title","Vanliga frågor – och vad du svarar:","","","From: src/pages/DashboardPage.jsx"
"dashboard.feature_catalog","Bläddra i produktkatalog","","","From: src/pages/DashboardPage.jsx"
"dashboard.feature_history","Överblick över orderhistorik","","","From: src/pages/DashboardPage.jsx"
"dashboard.feature_materials","Ladda ner marknadsföringsmaterial","","","From: src/pages/DashboardPage.jsx"
"dashboard.feature_orders","Lägga beställningar direkt","","","From: src/pages/DashboardPage.jsx"
"dashboard.features","Funktioner:","","","From: src/pages/DashboardPage.jsx"
"dashboard.history_description","Visa och spåra dina tidigare beställningar","","","From: src/pages/DashboardPage.jsx"
"dashboard.intro_quote","Kunderna vet därför inte ännu vad B8Shield är eller vilket problem den löser, och därför söker man således inte aktivt efter B8Shield trots att man har problemet med att fastna","","","From: src/pages/DashboardPage.jsx"
"dashboard.intro_text_1","B8Shield är en ny och unik produkt som löser ett vanligt problem för fiskare - att fastna i undervattensvegetation och andra undervattenshinder.","","","From: src/pages/DashboardPage.jsx"
"dashboard.intro_text_2","B8Shield är samtidigt en helt ny typ av både produkt och produktkategori.","","","From: src/pages/DashboardPage.jsx"
"dashboard.key_actions_title","Av den orsaken är det avgörande att ni:","","","From: src/pages/DashboardPage.jsx"
"dashboard.marketing_description","Ladda ner broschyrer och marknadsföringsmaterial","","","From: src/pages/DashboardPage.jsx"
"dashboard.order_description","Skapa en ny beställning för dina kunder","","","From: src/pages/DashboardPage.jsx"
"dashboard.product_explanation_title","Så förklarar du produkten på 15 sekunder:","","","From: src/pages/DashboardPage.jsx"
"dashboard.staff_info_title","Information för butikspersonal","","","From: src/pages/DashboardPage.jsx"
"dashboard.test_training","Testa Säljutbildning","","","From: src/pages/DashboardPage.jsx"
"dashboard.variant_fluorescent","FLUORESCERANDE.","","","From: src/pages/DashboardPage.jsx"
"dashboard.variant_fluorescent_desc","När du skall natt fiska och vill attrahera fiskar i grumliga eller mörka vatten.","","","From: src/pages/DashboardPage.jsx"
"dashboard.variant_glitter","GLITTER.","","","From: src/pages/DashboardPage.jsx"
"dashboard.variant_glitter_desc","När man skall fiska i stark solljus hjälper dess gnistrande färg till med att attrahera mer fisk.","","","From: src/pages/DashboardPage.jsx"
"dashboard.variant_red","RÖD.","","","From: src/pages/DashboardPage.jsx"
"dashboard.variant_red_desc","Utnyttja den traditionella röda färgen på många betesfiskar för att attrahera mer fisk.","","","From: src/pages/DashboardPage.jsx"
"dashboard.variant_transparent","TRANSPARENT.","","","From: src/pages/DashboardPage.jsx"
"dashboard.variant_transparent_desc","När man inte vill kompromissa med fiskedragets naturliga färger och utseende.","","","From: src/pages/DashboardPage.jsx"
"dashboard.welcome","Återförsäljarportal","","","From: src/pages/DashboardPage.jsx"
"dashboard.welcome_text","Välkommen till vår återförsäljarportal – ett verktyg för att göra ert samarbete med oss så smidigt som möjligt.","","","From: src/pages/DashboardPage.jsx"
"nav.marketing","Marknadsföringsmaterial","","","From: src/pages/DashboardPage.jsx"
"order.history","Orderhistorik","","","From: src/pages/DashboardPage.jsx"
"order.title","Lägg en beställning","","","From: src/pages/DashboardPage.jsx"
"product.catalog","Produktkatalog","","","From: src/pages/DashboardPage.jsx"